Deal,AQIIndex,ClosePrice,Europe_change,Global_GasPrice,Eco_rmb,JDWeather,cer_rmb_diff,TAN180_Change
15.93,115,1495,-0.42,3500,16.4715,0,3.021978022,8.9311
18.67,205,1506.5,0.6,3500,16.4934,0,0.551724138,1.5833
17.08,124,1532,-0.08,3600,16.4193,0,-6.79469593,-7.2608
17.73,83,1589,0.12,3500,16.4241,0,7.290031397,12.4009
17.75,103,1687,0.52,3500,16.4696,0,0.548696845,-6.3728
18.26,88,1667,-0.3,3500,16.4004,0,-0.272851296,-10.9787
17.65,50,1690,0.15,3500,16.3076,0,0.136798906,-8.4997
18.29,52,1699.5,-0.1,3500,16.1915,0,-3.465391621,2.4522
18.1,59,1826,0.17,3500,16.1915,0,3.731308081,15.7938
16.52,58,1662,-0.05,3500,16.146,0,-3.46521146,-1.4062
18.08,68,1676.5,0.26,3500,15.892,0,3.730921425,3.7407
17.81,52,1677.5,-0.72,3500,15.8466,1,-0.68119891,-7.9341
18.36,40,1611,0.48,3500,15.801,1,0.411522634,11.6912
17.89,82,1590,0.38,3500,15.7094,0,0.409836066,4.7288
17.64,85,1648,0.18,3500,15.709,0,0.136054422,2.914
17.77,77,1622.5,-0.04,3500,15.778,0,0,6.2021
17.77,75,1699.5,0.28,3500,15.778,0,-3.070652174,6.8447
18,59,1579,0.01,3500,15.435,0,-3.448275862,-11.695
16.3,58,1528.5,0.25,3500,14.8862,0,0.27100271,5.5787
15.3,68,1565,-0.43,3500,14.2688,0,-0.405405405,-1.7989
12.87,42,1533,-0.06,3500,13.6713,1,3.29036635,6.4388
13.34,78,1586.5,-0.26,3500,13.2096,1,-0.272108844,5.0652
13.64,106,1662.5,-0.22,3500,13.091,0,-3.711718493,10.9598
14.02,108,1680,-0.27,3500,12.9344,0,-0.273597811,0.9782
15.25,109,1655.5,-0.45,3500,12.9654,0,3.145208701,-5.5641
15.2,105,1650.5,0.23,3500,12.8968,0,0.275482094,7.7871
14.96,116,1694.5,0.42,3500,12.5355,0,0.412087912,-11.9835
14.91,90,1759,-0.15,3500,12.5721,0,-0.136798906,24.1504
14.86,77,1736,-0.05,3500,11.5584,0,-0.136986301,11.3739
14.27,84,1666.5,-0.54,3500,11.696,0,-0.548696845,1.0373
14.81,43,1685,-0.01,3500,11.679,0,-3.448275862,-12.9285
14.7,42,1716,0.21,3500,11.4042,0,0.275862069,-0.3841
14.7,87,1738,-0.14,3500,11.008,0,-3.704067597,-12.1003
14.63,105,1718,0.25,3580,11.2144,0,3.989388838,2.3575
15,84,1818.5,-0.17,3600,11.8336,0,-0.274725275,2.2517
15.3,83,1810.5,-0.15,3600,11.9712,0,-0.137741047,-15.6552
15.07,105,1806,-0.28,3600,12.3331,0,-0.275862069,-3.7379
15.02,54,1788.5,1.14,3600,12.4528,0,1.244813278,4.0747
15.09,55,1798.5,-0.3,3600,12.627,0,-0.409836066,1.4031
14.99,59,1787,-0.01,3600,12.834,0,0,-1.8744
15.07,77,1794.5,-0.06,3600,13.0599,0,0,-10.1945
14.65,84,1768,0.34,3600,13.4054,0,0.274348422,-2.9989
14.84,102,1850,0.74,3600,13.386,0,0.820793434,11.5913
14.83,57,1863,-0.08,3600,13.5436,0,-0.13568521,-0.8681
13.62,69,1863,-0.34,3600,12.8526,0,-0.27173913,0.1303
14.98,78,1877.5,0.86,3650,12.4709,0,0.817438692,12.0099
15.51,82,1856,0.27,3650,19.4298,0,0.27027027,-18.6904
15.26,101,1900,-0.06,3600,12.834,0,0,-0.817
15.54,78,1890,0.02,3600,13.0599,0,0,1.3281
15.31,95,1852,0.42,3600,13.1599,0,0.404312668,-15.7083
15.69,92,1894,-0.23,3600,13.091,0,-0.268456376,4.7722
15.55,85,1892.5,-0.13,3600,12.7968,0,-3.701211306,14.0757
15.63,93,1843.5,0.44,3600,13.053,0,0.404312668,1.4747
15.72,102,1854.5,0.25,3700,13.2096,0,-3.445190157,-7.0978
15.54,88,1915,-0.24,3700,13.0221,0,3.568118628,-4.1926
15.68,84,1746,-0.57,3650,13.3666,0,-0.536912752,-12.0539
15.37,63,1777,-0.54,3650,13.455,0,-0.539811066,8.4403
15.34,65,1896.5,-0.12,3650,13.4355,0,-0.13568521,24.4233
15.32,93,1915,-0.01,3600,13.2977,0,-3.703703704,-0.2555
15.47,93,1818,-0.2,3600,13.5044,0,-0.135869565,2.5607
15.35,55,1797,-0.49,3600,13.662,0,-0.544217687,-8.5723
15.12,55,1736,-0.04,3600,14.145,0,0,10.44
15.54,60,1635,0.37,3600,13.8087,0,-3.451541618,-3.4767
15.18,100,1612,-0.39,3600,13.8774,0,-0.408719346,-12.1823
15,88,1654,-0.11,3600,13.6224,0,-0.136798906,-4.5728
15.96,85,1604,0.36,3600,13.3472,0,0.410958904,-16.2516
14.58,80,1546,0.59,3835,13.4652,0,0.545702592,-11.7491
14.43,67,1605.5,0.08,3835,13.5536,0,0.13568521,5.3429
14.12,60,1651,0.05,3835,13.4848,0,0,9.1251
14.12,97,1599,1.09,3835,13.6026,0,1.08401084,-10.042
