date,dealprice
2017/1/6,17.08
2017/1/13,18.29
2017/1/20,18.36
2017/2/3,18
2017/2/10,13.34
2017/2/17,14.96
2017/2/24,14.7
2017/3/3,15.07
2017/3/10,14.65
2017/3/17,15.51
2017/3/24,15.55
2017/3/31,15.37
2017/4/7,15.47
2017/4/14,15.18
2017/4/21,14.12
2017/4/28,14.56
2017/5/5,14.1
2017/5/12,14.42
2017/5/19,16.23
2017/5/26,14.52
2017/6/2,13.94
2017/6/9,13.39
2017/6/16,12.84
2017/6/23,14
2017/6/30,12.85
2017/7/7,12
2017/7/14,11.66
2017/7/21,11.08
2017/7/28,11.64
2017/8/4,12.16
2017/8/11,12.12
2017/8/18,12.28
2017/8/25,13
2017/9/1,12.8
2017/9/8,12.86
2017/9/15,13.65
2017/9/22,15.47
2017/9/29,13.5
2017/10/13,14.1
2017/10/20,13.7
2017/10/27,13.48
2017/11/3,13.6
2017/11/10,13.43
2017/11/17,13.5
2017/11/24,14.49
2017/12/1,14.23
2017/12/8,13.73
2017/12/15,13.7
2017/12/22,13.2
2017/12/29,12.91
2018/1/5,12.93
2018/1/12,13.9
2018/1/19,12.8
2018/1/26,12.9
2018/2/2,12.95
2018/2/9,12.81
2018/2/23,12.81
2018/3/2,13.03
2018/3/9,13.1
2018/3/16,13.99
2018/3/23,12.86
2018/3/30,14.49
2018/4/13,14.1
2018/4/20,14
2018/4/27,13.88
2018/5/4,15.52
2018/5/11,14.85
2018/5/18,14.72
2018/5/25,14.91
2018/6/1,15.43
2018/6/8,15.51
2018/6/15,14.88
2018/6/22,14.61
2018/6/29,14
2018/7/6,13
2018/7/13,14.2
2018/7/20,13.26
2018/7/27,13
2018/8/3,13.02
2018/8/10,14.93
2018/8/17,14.82
2018/8/24,14.8
2018/8/31,13
2018/9/7,13.45
2018/9/14,15.7
2018/9/21,15.5
2018/9/28,14.59
2018/10/12,10.31
2018/10/19,15.25
2018/10/26,18.29
2018/11/2,16.99
2018/11/9,16.76
2018/11/16,17.22
2018/11/23,17.23
2018/11/30,16.78
2018/12/7,17.2
2018/12/14,17.43
2018/12/21,17.52
2018/12/28,18.87
2019/1/4,14.87
2019/1/11,19.29
2019/1/18,19
2019/1/25,18.54
2019/2/1,19.16
2019/2/15,19.43
2019/2/22,20.94
2019/3/1,20.25
2019/3/8,19.39
2019/3/15,21.3
2019/3/22,21.44
2019/3/29,21.71
