date,dealprice
2017/1/5,16.59
2017/1/12,17.65
2017/1/19,17.81
2017/1/26,17.77
2017/2/9,12.87
2017/2/16,15.2
2017/2/23,14.81
2017/3/2,15.3
2017/3/9,15.07
2017/3/16,14.98
2017/3/23,15.69
2017/3/30,15.54
2017/4/6,15.32
2017/4/13,15.54
2017/4/20,14.3
2017/4/27,14.01
2017/5/4,14.21
2017/5/11,14.78
2017/5/18,15.38
2017/5/25,15.31
2017/6/1,13.66
2017/6/8,14.27
2017/6/15,13.47
2017/6/22,12.76
2017/6/29,14.12
2017/7/6,12.22
2017/7/13,11.66
2017/7/20,12.13
2017/7/27,12.51
2017/8/3,11.05
2017/8/10,12.6
2017/8/17,12.28
2017/8/24,13
2017/8/31,12.81
2017/9/7,13.5
2017/9/14,13.57
2017/9/21,14.42
2017/9/28,13.7
2017/10/12,13.9
2017/10/19,14.92
2017/10/26,14.4
2017/11/2,13.6
2017/11/9,13.49
2017/11/16,13.56
2017/11/23,13.6
2017/11/30,14.23
2017/12/7,13.15
2017/12/14,13.96
2017/12/21,13.02
2017/12/28,12.9
2018/1/4,12.93
2018/1/11,12.99
2018/1/18,12.8
2018/1/25,12.7
2018/2/1,12.7
2018/2/8,13.2
2018/2/22,12.81
2018/3/1,12.52
2018/3/8,13.03
2018/3/15,13.4
2018/3/22,13.21
2018/3/29,16.1
2018/4/12,13.8
2018/4/19,13.58
2018/4/26,13.47
2018/5/3,14.4
2018/5/10,14.73
2018/5/17,15.75
2018/5/24,15.19
2018/5/31,15.25
2018/6/7,16.35
2018/6/14,15.02
2018/6/21,14.61
2018/6/28,14
2018/7/5,14.44
2018/7/12,13.3
2018/7/19,13.8
2018/7/26,13
2018/8/2,13.51
2018/8/9,13.73
2018/8/16,14.01
2018/8/23,12.98
2018/8/30,14.39
2018/9/6,14.48
2018/9/13,16
2018/9/20,14.6
2018/9/27,13.88
2018/10/11,9.8
2018/10/18,16.08
2018/10/25,17.2
2018/11/1,16.7
2018/11/8,15.24
2018/11/15,16.23
2018/11/22,17.82
2018/11/29,17.33
2018/12/6,17.46
2018/12/13,17.43
2018/12/20,17.94
2018/12/27,17.66
2019/1/3,16.52
2019/1/10,18.85
2019/1/17,18.96
2019/1/24,18.57
2019/1/31,18.56
2019/2/14,18.43
2019/2/21,19.5
2019/2/28,19.56
2019/3/7,19.32
2019/3/14,21.52
2019/3/21,21.16
2019/3/28,21.45
