date,dealprice
2017/1/4,15.93
2017/1/11,18.26
2017/1/18,18.08
2017/1/25,17.77
2017/2/8,13.83
2017/2/15,15.25
2017/2/22,14.27
2017/3/1,15
2017/3/8,14.99
2017/3/15,13.62
2017/3/22,15.31
2017/3/29,15.54
2017/4/5,15.34
2017/4/12,15.01
2017/4/19,14.58
2017/4/26,13.99
2017/5/3,15.36
2017/5/10,14.7
2017/5/17,14.39
2017/5/24,17.01
2017/5/31,13.98
2017/6/7,13.5
2017/6/14,13.48
2017/6/21,12.87
2017/6/28,15.69
2017/7/5,11.11
2017/7/12,12.04
2017/7/19,12.59
2017/7/26,12.72
2017/8/2,12.24
2017/8/9,12.09
2017/8/16,12.28
2017/8/23,12.98
2017/8/30,13
2017/9/6,12.89
2017/9/13,13.49
2017/9/20,13.11
2017/9/27,13.78
2017/10/11,13.89
2017/10/18,15.04
2017/10/25,13.1
2017/11/1,13.4
2017/11/8,13.55
2017/11/15,14.03
2017/11/22,13.25
2017/11/29,14.23
2017/12/6,13.1
2017/12/13,13.33
2017/12/20,13.08
2017/12/27,12.8
2018/1/3,12.93
2018/1/10,12.62
2018/1/17,12.8
2018/1/24,12.8
2018/1/31,12.7
2018/2/7,12.87
2018/2/14,12.81
2018/2/28,13.39
2018/3/7,13.03
2018/3/14,13.44
2018/3/21,13.3
2018/3/28,15.12
2018/4/4,13.53
2018/4/11,13.74
2018/4/18,15.01
2018/4/25,13.59
2018/5/2,14.11
2018/5/9,14.34
2018/5/16,15.25
2018/5/23,14.97
2018/5/30,15.25
2018/6/6,15.32
2018/6/13,14.77
2018/6/20,14.46
2018/6/27,14.37
2018/7/4,14.12
2018/7/11,13.3
2018/7/18,13.87
2018/7/25,13
2018/8/1,13.68
2018/8/8,13.89
2018/8/15,14.14
2018/8/22,13.88
2018/8/29,14.37
2018/9/5,13.2
2018/9/12,16
2018/9/19,14.07
2018/9/26,14.37
2018/10/10,9.8
2018/10/17,15.89
2018/10/24,17.18
2018/10/31,17.16
2018/11/7,16.87
2018/11/14,16.2
2018/11/21,17.82
2018/11/28,17.5
2018/12/5,17.61
2018/12/12,17.5
2018/12/19,17.94
2018/12/26,17.65
2019/1/2,17.01
2019/1/9,18.84
2019/1/16,18.99
2019/1/23,18.54
2019/1/30,18.6
2019/2/13,17.9
2019/2/20,19.99
2019/2/27,19.66
2019/3/6,19.12
2019/3/13,21.45
2019/3/20,21.36
2019/3/27,21.34
