date,dealprice
2019/4/1,69.82
2019/3/29,69.82
2019/3/28,69.29
2019/3/27,67.5
2019/3/26,67.5
2019/3/25,67.5
2019/3/22,67.5
2019/3/21,67.94
2019/3/20,67.94
2019/3/19,67.94
2019/3/18,67.94
2019/3/15,67
2019/3/14,67
2019/3/13,67
2019/3/12,68.4
2019/3/11,68.4
2019/3/8,66.5
2019/3/7,65
2019/3/6,63.67
2019/3/5,61.79
2019/3/4,60.6
2019/3/1,60.6
2019/2/28,60.6
2019/2/27,60.6
2019/2/26,60.5
2019/2/25,60.65
2019/2/22,60.79
2019/2/21,60.5
2019/2/20,60.5
2019/2/19,60.5
2019/2/18,60.5
2019/2/15,60.5
2019/2/14,60.5
2019/2/13,60.5
2019/2/12,60.5
2019/2/11,60.5
2019/2/1,60.5
2019/1/31,60.5
2019/1/30,60.5
2019/1/29,60.5
2019/1/28,74
2019/1/25,74
2019/1/24,60.1
2019/1/23,60.1
2019/1/22,60.1
2019/1/21,60.1
2019/1/18,60.1
2019/1/17,75.1
2019/1/16,75.1
2019/1/15,75.1
2019/1/14,75.1
2019/1/11,75.1
2019/1/10,75.1
2019/1/9,75.1
2019/1/8,75.1
2019/1/7,75.1
2019/1/4,75.1
2019/1/3,71
2019/1/2,65.06
2018/12/28,57.03
2018/12/27,58.73
2018/12/26,51.54
2018/12/25,50
2018/12/24,45.5
2018/12/21,40
2018/12/20,40
2018/12/19,42
2018/12/18,42
2018/12/17,49.98
2018/12/14,50.1
2018/12/13,49.09
2018/12/12,52.37
2018/12/11,50.04
2018/12/10,45.55
2018/12/7,54.2
2018/12/6,58.78
2018/12/5,57.59
2018/12/4,55.46
2018/12/3,51.64
2018/11/30,50.89
2018/11/29,51.29
2018/11/28,50.33
2018/11/27,50.16
2018/11/26,43.59
2018/11/23,43.59
2018/11/22,41.4
2018/11/21,35
2018/11/20,37.8
2018/11/19,41.3
2018/11/16,45.47
2018/11/15,47
2018/11/14,47.1
2018/11/13,47.1
2018/11/12,47.1
2018/11/9,47.1
2018/11/8,47.1
2018/11/7,47.1
2018/11/6,49.42
2018/11/5,49.42
2018/11/2,43.9
2018/11/1,43.8
2018/10/31,51.69
2018/10/30,50.2
2018/10/29,61.2
2018/10/26,74.6
2018/10/25,74.6
2018/10/24,74.6
2018/10/23,74.6
2018/10/22,74.6
2018/10/19,74.6
2018/10/18,74.6
2018/10/17,74.6
2018/10/16,74.6
2018/10/15,74.6
2018/10/12,74.6
2018/10/11,74.6
2018/10/10,74.6
2018/10/9,74.6
2018/10/8,64
2018/9/28,55.6
2018/9/27,46.3
2018/9/26,38.6
2018/9/25,32.22
2018/9/21,31.11
2018/9/20,30.32
2018/9/19,30.44
2018/9/18,36.15
2018/9/17,41
2018/9/14,51.2
2018/9/13,67.51
2018/9/12,67.51
2018/9/11,67.51
2018/9/10,67.51
2018/9/7,67.51
2018/9/6,67.51
2018/9/5,67.51
2018/9/4,67.51
2018/9/3,67.51
2018/8/31,69.6
2018/8/30,69.6
2018/8/29,69.6
2018/8/28,69.6
2018/8/27,70.63
2018/8/24,70.63
2018/8/23,70.63
2018/8/22,70.63
2018/8/21,70.6
2018/8/20,70.6
2018/8/17,70.6
2018/8/16,70.6
2018/8/15,70.6
2018/8/14,70.31
2018/8/13,71.11
2018/8/10,71.11
2018/8/9,70.71
2018/8/8,70.49
2018/8/7,70.49
2018/8/6,70.9
2018/8/3,70.74
2018/8/2,70.12
2018/8/1,69.62
2018/7/31,70.02
2018/7/30,70.24
2018/7/27,69.52
2018/7/26,70.11
2018/7/25,69.33
2018/7/24,69.83
2018/7/23,68.09
2018/7/20,69.44
2018/7/19,68.46
2018/7/18,68.11
2018/7/17,68.99
2018/7/16,68.52
2018/7/13,68.52
2018/7/12,68.31
2018/7/11,68.18
2018/7/10,69.1
2018/7/9,69.23
2018/7/6,69.32
2018/7/5,69.1
2018/7/4,69.4
2018/7/3,68.75
2018/7/2,68.05
2018/6/29,67.31
2018/6/28,64.65
2018/6/27,62.43
2018/6/26,59.68
2018/6/25,54.54
2018/6/22,51.01
2018/6/21,44.01
2018/6/20,48.14
2018/6/19,40.71
2018/6/15,36.04
2018/6/14,34.18
2018/6/13,40.48
2018/6/12,44.9
2018/6/11,58.14
2018/6/8,65.83
