date,dealprice
2017/1/9,37.77
2017/1/10,37.34
2017/1/11,38.08
2017/1/12,38.66
2017/1/13,38.85
2017/1/16,38.69
2017/1/17,37.66
2017/1/18,37.38
2017/1/19,38.54
2017/1/20,37.94
2017/1/23,37.7
2017/1/24,37.61
2017/1/25,37.15
2017/1/26,37.74
2017/2/3,37.68
2017/2/6,36.91
2017/2/7,37.92
2017/2/8,37.95
2017/2/9,39.02
2017/2/10,41.52
2017/2/13,40.69
2017/2/14,41.44
2017/2/15,42.28
2017/2/16,40.79
2017/2/17,39.32
2017/2/20,37.88
2017/2/21,38.27
2017/2/22,37.65
2017/2/23,37.73
2017/2/24,37.39
2017/2/27,37.39
2017/2/28,36.72
2017/3/1,37.52
2017/3/2,36.71
2017/3/3,38.25
2017/3/6,37.97
2017/3/7,36.8
2017/3/8,37.1
2017/3/9,36.23
2017/3/10,36.69
2017/3/13,34.67
2017/3/14,35.53
2017/3/15,36.07
2017/3/16,36.9
2017/3/17,36.81
2017/3/20,37.1
2017/3/21,36.6
2017/3/22,36.7
2017/3/23,33.17
2017/3/24,35.05
2017/3/27,35.6
2017/3/28,35.02
2017/3/29,35.11
2017/3/30,34.71
2017/3/31,34.6
2017/4/5,37.25
2017/4/6,36
2017/4/7,37.2
2017/4/10,36.08
2017/4/11,36.98
2017/4/12,35.23
2017/4/13,34.94
2017/4/14,34.99
2017/4/17,37
2017/4/18,37.91
2017/4/19,35.86
2017/4/20,36.06
2017/4/21,37.71
2017/4/24,37.71
2017/4/25,33.26
2017/4/26,34.71
2017/4/27,36.37
2017/4/28,34.01
2017/5/2,34.51
2017/5/3,35.72
2017/5/4,35.6
2017/5/5,35.08
2017/5/8,36.14
2017/5/9,35.7
2017/5/10,37.31
2017/5/11,38.57
2017/5/12,38.39
2017/5/15,35.55
2017/5/16,35.9
2017/5/17,36.32
2017/5/18,35.3
2017/5/19,36.12
2017/5/22,32.51
2017/5/23,29.26
2017/5/24,28.38
2017/5/25,26.97
2017/5/26,27.41
2017/5/31,27.41
2017/6/1,25.52
2017/6/2,27.07
2017/6/5,28.51
2017/6/6,30.97
2017/6/7,32.4
2017/6/8,34.5
2017/6/9,31.5
2017/6/12,27.99
2017/6/13,25.16
2017/6/14,24.09
2017/6/15,22.82
2017/6/16,22.42
2017/6/19,22.45
2017/6/20,22.07
2017/6/21,22.81
2017/6/22,23.7
2017/6/23,24.92
2017/6/26,22.43
2017/6/27,23.13
2017/6/28,23.39
2017/6/29,25.51
2017/6/30,25.47
2017/7/3,26.31
2017/7/4,28.91
2017/7/5,26.02
2017/7/6,25.98
2017/7/7,26.01
2017/7/10,28.56
2017/7/11,25.7
2017/7/12,28.21
2017/7/13,30.5
2017/7/14,33
2017/7/17,29.7
2017/7/18,28.41
2017/7/19,30
2017/7/20,30.85
2017/7/21,31.81
2017/7/24,30.59
2017/7/25,30.59
2017/7/26,27.02
2017/7/27,26.34
2017/7/28,28.96
2017/7/31,31.6
2017/8/1,33.51
2017/8/2,33.51
2017/8/3,33.51
2017/8/4,30.16
2017/8/7,33.01
2017/8/8,34
2017/8/9,34
2017/8/10,30.6
2017/8/11,29.96
2017/8/14,29.96
2017/8/15,32.6
2017/8/16,32.6
2017/8/17,32.6
2017/8/18,32.6
2017/8/21,32.6
2017/8/22,29.34
2017/8/23,26.41
2017/8/24,26.3
2017/8/25,28.8
2017/8/28,31.5
2017/8/29,31.5
2017/8/30,33.3
2017/8/31,33.3
2017/9/1,33.3
2017/9/4,29.97
2017/9/5,26.97
2017/9/6,26.97
2017/9/7,24.27
2017/9/8,24.27
2017/9/11,21.84
2017/9/12,19.66
2017/9/13,20.92
2017/9/14,20.92
2017/9/15,23.01
2017/9/18,23.91
2017/9/19,21.52
2017/9/20,20.58
2017/9/21,18.58
2017/9/22,19.8
2017/9/25,21.57
2017/9/26,23.61
2017/9/27,21.25
2017/9/28,20
2017/9/29,20
2017/10/9,18
2017/10/10,17.26
2017/10/11,18.87
2017/10/12,20.58
2017/10/13,22.5
2017/10/16,24
2017/10/17,24
2017/10/18,24
2017/10/19,24
2017/10/20,25.88
2017/10/23,24.37
2017/10/24,24.49
2017/10/25,24.49
2017/10/26,24.49
2017/10/27,25.97
2017/10/30,28.1
2017/10/31,28.1
2017/11/1,27.31
2017/11/2,27.31
2017/11/3,27.12
2017/11/6,28.86
2017/11/7,28.86
2017/11/8,28.86
2017/11/9,30
2017/11/10,30
2017/11/13,28.36
2017/11/14,27.8
2017/11/15,28.11
2017/11/16,28.6
2017/11/17,28.5
2017/11/20,30.66
2017/11/21,30.66
2017/11/22,27.5
2017/11/23,24.83
2017/11/24,24.83
2017/11/27,24.83
2017/11/28,24.83
2017/11/29,24.83
2017/11/30,24.83
2017/12/1,24.83
2017/12/4,23.93
2017/12/5,22.92
2017/12/6,22.92
2017/12/7,21.08
2017/12/8,18.97
2017/12/11,20
2017/12/12,20
2017/12/13,20.62
2017/12/14,22.61
2017/12/15,23.19
2017/12/18,20.87
2017/12/19,20
2017/12/20,20.84
2017/12/21,22.8
2017/12/22,24.97
2017/12/25,26.48
2017/12/26,24.16
2017/12/27,22.3
2017/12/28,22.52
2017/12/29,21.79
2018/1/2,20.47
2018/1/3,21
2018/1/4,20.93
2018/1/5,19.39
2018/1/8,19
2018/1/9,18.31
2018/1/10,18.31
2018/1/11,17.8
2018/1/12,16.18
2018/1/15,17
2018/1/16,16.5
2018/1/17,17.8
2018/1/18,17.8
2018/1/19,16.13
2018/1/22,17.77
2018/1/23,17.58
2018/1/24,19.2
2018/1/25,18.82
2018/1/26,19.2
2018/1/29,19
2018/1/30,20.56
2018/1/31,20.56
2018/2/1,19.75
2018/2/2,19.52
2018/2/5,19.12
2018/2/6,19.1
2018/2/7,18.54
2018/2/8,18.09
2018/2/9,17.99
2018/2/12,17.99
2018/2/13,17.99
2018/2/14,17.99
2018/2/22,18.77
2018/2/23,17
2018/2/26,17.3
2018/2/27,16
2018/2/28,16.49
2018/3/1,16.58
2018/3/2,16.69
2018/3/5,15.79
2018/3/6,15.85
2018/3/7,16.11
2018/3/8,15.66
2018/3/9,15.15
2018/3/12,14.98
2018/3/13,15.17
2018/3/14,15.1
2018/3/15,14.91
2018/3/16,14.82
2018/3/19,15.79
2018/3/20,16.46
2018/3/21,17.5
2018/3/22,19
2018/3/23,20
2018/3/26,20
2018/3/27,20
2018/3/28,20
2018/3/29,20
2018/3/30,20
2018/4/2,20
2018/4/3,20
2018/4/4,20
2018/4/9,20
2018/4/10,20
2018/4/11,20
2018/4/12,20
2018/4/13,20
2018/4/16,20.01
2018/4/17,19.84
2018/4/18,19.53
2018/4/19,19.45
2018/4/20,19.69
2018/4/23,18.99
2018/4/24,18.71
2018/4/25,18.52
2018/4/26,18.33
2018/4/27,18.48
2018/5/2,20.26
2018/5/3,22.29
2018/5/4,22.29
2018/5/7,22.29
2018/5/8,20.06
2018/5/9,22.07
2018/5/10,21.91
2018/5/11,21.91
2018/5/14,21.91
2018/5/15,22.4
2018/5/16,20.57
2018/5/17,20.57
2018/5/18,20.57
2018/5/21,20.57
2018/5/22,20.57
2018/5/23,21.61
2018/5/24,21.61
2018/5/25,21.62
2018/5/28,19.66
2018/5/29,21.63
2018/5/30,21.86
2018/5/31,22.39
2018/6/1,22.34
2018/6/4,22.79
2018/6/5,20.51
2018/6/6,20.51
2018/6/7,20.34
2018/6/8,18.32
2018/6/11,20.15
2018/6/12,21.49
2018/6/13,19.34
2018/6/14,20.49
2018/6/15,20.01
2018/6/19,20.01
2018/6/20,20.01
2018/6/21,20.01
2018/6/22,20.01
2018/6/25,20.01
2018/6/26,20.01
2018/6/27,19.8
2018/6/28,19.6
2018/6/29,19.5
2018/7/2,19.5
2018/7/3,19.5
2018/7/4,19.5
2018/7/5,19.5
2018/7/6,19.5
2018/7/9,19.5
2018/7/10,19
2018/7/11,19
2018/7/12,19
2018/7/13,18.49
2018/7/16,18.09
2018/7/17,17.5
2018/7/18,17.1
2018/7/19,17.1
2018/7/20,16
2018/7/23,16
2018/7/24,15
2018/7/25,14
2018/7/26,14.5
2018/7/27,15.95
2018/7/30,16.47
2018/7/31,17.97
2018/8/1,18.61
2018/8/2,18.4
2018/8/6,17.76
2018/8/7,17.08
2018/8/8,18.23
2018/8/9,17.33
2018/8/10,15.76
2018/8/13,16.6
2018/8/14,15.24
2018/8/15,13.72
2018/8/16,12.93
2018/8/17,14.22
2018/8/20,15.5
2018/8/21,17.05
2018/8/22,18.76
2018/8/23,18.76
2018/8/24,18.76
2018/8/27,18.76
2018/8/28,18.76
2018/8/29,18.76
2018/8/30,18.76
2018/8/31,18.76
2018/9/3,18.76
2018/9/4,18.76
2018/9/5,18.76
2018/9/6,18.76
2018/9/7,18.76
2018/9/10,18.76
2018/9/11,18.76
2018/9/12,18.76
2018/9/13,18.76
2018/9/14,18.76
2018/9/17,18.76
2018/9/18,18.76
2018/9/19,18.76
2018/9/20,18.76
2018/9/21,18.76
2018/9/25,18.76
2018/9/26,18.76
2018/9/27,18.76
2018/9/28,18.76
2018/10/8,20
2018/10/9,20
2018/10/10,20
2018/10/11,19.14
2018/10/12,20
2018/10/15,20
2018/10/16,20
2018/10/17,20
2018/10/18,20
2018/10/19,20
2018/10/22,20
2018/10/23,20
2018/10/24,20
2018/10/25,20
2018/10/26,20
2018/10/29,20
2018/10/30,20
2018/10/31,20
2018/11/1,20
2018/11/2,21.8
2018/11/5,21.8
2018/11/6,23
2018/11/7,23
2018/11/8,25
2018/11/9,25
2018/11/12,27
2018/11/13,24.3
2018/11/14,26.7
2018/11/15,26.7
2018/11/16,29
2018/11/19,29
2018/11/20,30
2018/11/21,30
2018/11/22,30
2018/11/23,30
2018/11/26,30
2018/11/27,27
2018/11/28,29.7
2018/11/29,29.7
2018/11/30,29.7
2018/12/3,29.7
2018/12/4,29.7
2018/12/5,29.7
2018/12/6,29.7
2018/12/7,29.7
2018/12/10,29.7
2018/12/11,29.7
2018/12/12,29.7
2018/12/13,29.7
2018/12/14,29.7
2018/12/17,29.7
2018/12/18,29.7
2018/12/19,29.7
2018/12/20,29.7
2018/12/21,29.7
2018/12/24,29.7
2018/12/25,29.7
2018/12/26,29.7
2018/12/27,29.7
2018/12/28,29.7
2019/1/2,29.7
2019/1/3,29.7
2019/1/4,29.7
2019/1/7,29.7
2019/1/8,29.7
2019/1/9,29.7
2019/1/10,29.7
2019/1/11,29.7
2019/1/14,29.7
2019/1/15,29.7
2019/1/16,29.7
2019/1/17,29.7
2019/1/18,29.7
2019/1/21,29.7
2019/1/22,29.7
2019/1/23,29.7
2019/1/24,29.7
2019/1/25,29.7
2019/1/28,29.7
2019/1/29,29.7
2019/1/30,29.7
2019/1/31,29.7
2019/2/1,29.7
2019/2/11,29.7
2019/2/12,29.7
2019/2/13,29.7
2019/2/14,29.7
2019/2/15,29.7
2019/2/18,29.7
2019/2/19,29.7
2019/2/20,29.7
2019/2/21,29.7
2019/2/22,29.7
2019/2/25,29.7
2019/2/26,29.7
2019/2/27,29.7
2019/2/28,29.7
2019/3/1,29.7
2019/3/4,29.7
2019/3/5,29.7
2019/3/6,29.7
2019/3/7,29.7
2019/3/8,29.7
2019/3/11,26.73
2019/3/12,24.06
2019/3/13,21.65
2019/3/14,23.82
2019/3/15,21.44
2019/3/18,19.38
2019/3/19,21.32
2019/3/20,19.19
2019/3/21,19.19
2019/3/22,17.27
2019/3/25,15.54
2019/3/26,13.99
2019/3/27,12.59
2019/3/28,11.33
2019/3/29,11.33
2019/4/1,11.33
