ds,y
2017/1/3,15.27
2017/1/4,15.93
2017/1/5,16.59
2017/1/6,17.08
2017/1/9,17.73
2017/1/10,17.75
2017/1/11,18.26
2017/1/12,17.65
2017/1/13,18.29
2017/1/16,18.1
2017/1/17,16.52
2017/1/18,18.08
2017/1/19,17.81
2017/1/20,18.36
2017/1/23,17.89
2017/1/24,17.64
2017/1/25,17.77
2017/1/26,17.77
2017/2/3,18
2017/2/6,16.3
2017/2/7,15.3
2017/2/8,13.83
2017/2/9,12.87
2017/2/10,13.34
2017/2/13,13.64
2017/2/14,14.02
2017/2/15,15.25
2017/2/16,15.2
2017/2/17,14.96
2017/2/20,14.91
2017/2/21,14.86
2017/2/22,14.27
2017/2/23,14.81
2017/2/24,14.7
2017/2/27,14.7
2017/2/28,14.63
2017/3/1,15
2017/3/2,15.3
2017/3/3,15.07
2017/3/6,15.02
2017/3/7,15.09
2017/3/8,14.99
2017/3/9,15.07
2017/3/10,14.65
2017/3/13,14.84
2017/3/14,14.83
2017/3/15,13.62
2017/3/16,14.98
2017/3/17,15.51
2017/3/20,15.26
2017/3/21,15.54
2017/3/22,15.31
2017/3/23,15.69
2017/3/24,15.55
2017/3/27,15.63
2017/3/28,15.72
2017/3/29,15.54
2017/3/30,15.54
2017/3/31,15.37
2017/4/5,15.34
2017/4/6,15.32
2017/4/7,15.47
2017/4/10,15.35
2017/4/11,15.12
2017/4/12,15.01
2017/4/13,15.54
2017/4/14,15.18
2017/4/17,15
2017/4/18,15.96
2017/4/19,14.58
2017/4/20,14.3
2017/4/21,14.12
2017/4/24,14.92
2017/4/25,14.46
2017/4/26,13.99
2017/4/27,14.01
2017/4/28,14.56
2017/5/2,14.77
2017/5/3,15.36
2017/5/4,14.21
2017/5/5,14.1
2017/5/8,14.31
2017/5/9,14.68
2017/5/10,14.7
2017/5/11,14.78
2017/5/12,14.42
2017/5/15,15.47
2017/5/16,14.26
2017/5/17,14.39
2017/5/18,15.38
2017/5/19,16.23
2017/5/22,17.39
2017/5/23,18.9
2017/5/24,17.01
2017/5/25,15.31
2017/5/26,14.52
2017/5/31,13.98
2017/6/1,13.66
2017/6/2,13.94
2017/6/5,14.07
2017/6/6,13.72
2017/6/7,13.5
2017/6/8,14.27
2017/6/9,13.39
2017/6/12,13.5
2017/6/13,13.67
2017/6/14,13.48
2017/6/15,13.47
2017/6/16,12.84
2017/6/19,12.63
2017/6/20,13.09
2017/6/21,12.87
2017/6/22,12.76
2017/6/23,14
2017/6/26,14.76
2017/6/27,14.88
2017/6/28,15.69
2017/6/29,14.12
2017/6/30,12.85
2017/7/3,12.99
2017/7/4,11.88
2017/7/5,11.11
2017/7/6,12.22
2017/7/7,12
2017/7/10,12.38
2017/7/11,12.24
2017/7/12,12.04
2017/7/13,11.66
2017/7/14,11.66
2017/7/17,12.04
2017/7/18,12.04
2017/7/19,12.59
2017/7/20,12.13
2017/7/21,11.08
2017/7/24,11.06
2017/7/25,12.1
2017/7/26,12.72
2017/7/27,12.51
2017/7/28,11.64
2017/7/31,11.91
2017/8/1,12.98
2017/8/2,12.24
2017/8/3,11.05
2017/8/4,12.16
2017/8/7,12.51
2017/8/8,11.99
2017/8/9,12.09
2017/8/10,12.6
2017/8/11,12.12
2017/8/14,12.22
2017/8/15,12.36
2017/8/16,12.28
2017/8/17,12.28
2017/8/18,12.28
2017/8/21,12.28
2017/8/22,12.5
2017/8/23,12.98
2017/8/24,13
2017/8/25,13
2017/8/28,13.18
2017/8/29,13.18
2017/8/30,13
2017/8/31,12.81
2017/9/1,12.8
2017/9/4,12.7
2017/9/5,13
2017/9/6,12.89
2017/9/7,13.5
2017/9/8,12.86
2017/9/11,13.5
2017/9/12,13.5
2017/9/13,13.49
2017/9/14,13.57
2017/9/15,13.65
2017/9/18,13.7
2017/9/19,13.7
2017/9/20,13.11
2017/9/21,14.42
2017/9/22,15.47
2017/9/25,13.92
2017/9/26,13.85
2017/9/27,13.78
2017/9/28,13.7
2017/9/29,13.5
2017/10/9,13.5
2017/10/10,13.78
2017/10/11,13.89
2017/10/12,13.9
2017/10/13,14.1
2017/10/16,14
2017/10/17,14.92
2017/10/18,15.04
2017/10/19,14.92
2017/10/20,13.7
2017/10/23,13.5
2017/10/24,14.3
2017/10/25,13.1
2017/10/26,14.4
2017/10/27,13.48
2017/10/30,13.33
2017/10/31,13.44
2017/11/1,13.4
2017/11/2,13.6
2017/11/3,13.6
2017/11/6,13.55
2017/11/7,13.55
2017/11/8,13.55
2017/11/9,13.49
2017/11/10,13.43
2017/11/13,13.45
2017/11/14,14
2017/11/15,14.03
2017/11/16,13.56
2017/11/17,13.5
2017/11/20,13.5
2017/11/21,13.5
2017/11/22,13.25
2017/11/23,13.6
2017/11/24,14.49
2017/11/27,13.32
2017/11/28,14.23
2017/11/29,14.23
2017/11/30,14.23
2017/12/1,14.23
2017/12/4,13.5
2017/12/5,14.2
2017/12/6,13.1
2017/12/7,13.15
2017/12/8,13.73
2017/12/11,13.35
2017/12/12,14.69
2017/12/13,13.33
2017/12/14,13.96
2017/12/15,13.7
2017/12/18,13.34
2017/12/19,13.31
2017/12/20,13.08
2017/12/21,13.02
2017/12/22,13.2
2017/12/25,13.2
2017/12/26,14.17
2017/12/27,12.8
2017/12/28,12.9
2017/12/29,12.91
2018/1/2,12.91
2018/1/3,12.93
2018/1/4,12.93
2018/1/5,12.93
2018/1/8,12.93
2018/1/9,14
2018/1/10,12.62
2018/1/11,12.99
2018/1/12,13.9
2018/1/15,13.9
2018/1/16,13.9
2018/1/17,12.8
2018/1/18,12.8
2018/1/19,12.8
2018/1/22,12.8
2018/1/23,12.8
2018/1/24,12.8
2018/1/25,12.7
2018/1/26,12.9
2018/1/29,13
2018/1/30,12.7
2018/1/31,12.7
2018/2/1,12.7
2018/2/2,12.95
2018/2/5,13.67
2018/2/6,14.29
2018/2/7,12.87
2018/2/8,13.2
2018/2/9,12.81
2018/2/12,12.81
2018/2/13,12.81
2018/2/14,12.81
2018/2/22,12.81
2018/2/23,12.81
2018/2/26,13
2018/2/27,12.85
2018/2/28,13.39
2018/3/1,12.52
2018/3/2,13.03
2018/3/5,13.12
2018/3/6,13.03
2018/3/7,13.03
2018/3/8,13.03
2018/3/9,13.1
2018/3/12,14.41
2018/3/13,13.11
2018/3/14,13.44
2018/3/15,13.4
2018/3/16,13.99
2018/3/19,13.99
2018/3/20,13.99
2018/3/21,13.3
2018/3/22,13.21
2018/3/23,12.86
2018/3/26,13.28
2018/3/27,14.6
2018/3/28,15.12
2018/3/29,16.1
2018/3/30,14.49
2018/4/2,13.2
2018/4/3,13.53
2018/4/4,13.53
2018/4/9,14.31
2018/4/10,13.2
2018/4/11,13.74
2018/4/12,13.8
2018/4/13,14.1
2018/4/16,13.78
2018/4/17,13.75
2018/4/18,15.01
2018/4/19,13.58
2018/4/20,14
2018/4/23,13.7
2018/4/24,13.66
2018/4/25,13.59
2018/4/26,13.47
2018/4/27,13.88
2018/5/2,14.11
2018/5/3,14.4
2018/5/4,15.52
2018/5/7,14.34
2018/5/8,14.5
2018/5/9,14.34
2018/5/10,14.73
2018/5/11,14.85
2018/5/14,14.6
2018/5/15,14.6
2018/5/16,15.25
2018/5/17,15.75
2018/5/18,14.72
2018/5/21,14.93
2018/5/22,14.97
2018/5/23,14.97
2018/5/24,15.19
2018/5/25,14.91
2018/5/28,15
2018/5/29,15.19
2018/5/30,15.25
2018/5/31,15.25
2018/6/1,15.43
2018/6/4,15.51
2018/6/5,15.19
2018/6/6,15.32
2018/6/7,16.35
2018/6/8,15.51
2018/6/11,14.98
2018/6/12,15.13
2018/6/13,14.77
2018/6/14,15.02
2018/6/15,14.88
2018/6/18,14.88
2018/6/19,14.52
2018/6/20,14.46
2018/6/21,14.61
2018/6/22,14.61
2018/6/25,14.35
2018/6/26,14.37
2018/6/27,14.37
2018/6/28,14
2018/6/29,14
2018/7/2,14.5
2018/7/3,14.12
2018/7/4,14.12
2018/7/5,14.44
2018/7/6,13
2018/7/9,13
2018/7/10,12.09
2018/7/11,13.3
2018/7/12,13.3
2018/7/13,14.2
2018/7/16,14.93
2018/7/17,14.33
2018/7/18,13.87
2018/7/19,13.8
2018/7/20,13.26
2018/7/23,13.71
2018/7/24,13.2
2018/7/25,13
2018/7/26,13
2018/7/27,13
2018/7/30,13.68
2018/7/31,13.68
2018/8/1,13.68
2018/8/2,13.51
2018/8/3,13.02
2018/8/6,13.39
2018/8/7,14.49
2018/8/8,13.89
2018/8/9,13.73
2018/8/10,14.93
2018/8/13,14.6
2018/8/14,13.88
2018/8/15,14.14
2018/8/16,14.01
2018/8/17,14.82
2018/8/20,13.88
2018/8/21,13.88
2018/8/22,13.88
2018/8/23,12.98
2018/8/24,14.8
2018/8/27,14.74
2018/8/28,13.8
2018/8/29,14.37
2018/8/30,14.39
2018/8/31,13
2018/9/3,12
2018/9/4,12
2018/9/5,13.2
2018/9/6,14.48
2018/9/7,13.45
2018/9/10,14.6
2018/9/11,16
2018/9/12,16
2018/9/13,16
2018/9/14,15.7
2018/9/17,14.9
2018/9/18,14.07
2018/9/19,14.07
2018/9/20,14.6
2018/9/21,15.5
2018/9/25,14
2018/9/26,14.37
2018/9/27,13.88
2018/9/28,14.59
2018/10/8,13.96
2018/10/9,15.31
2018/10/10,9.8
2018/10/11,9.8
2018/10/12,10.31
2018/10/15,15.14
2018/10/16,14.51
2018/10/17,15.89
2018/10/18,16.08
2018/10/19,15.25
2018/10/22,16.43
2018/10/23,16.94
2018/10/24,17.18
2018/10/25,17.2
2018/10/26,18.29
2018/10/29,18.09
2018/10/30,17.23
2018/10/31,17.16
2018/11/1,16.7
2018/11/2,16.99
2018/11/5,17
2018/11/6,17
2018/11/7,16.87
2018/11/8,15.24
2018/11/9,16.76
2018/11/12,16.11
2018/11/13,15.98
2018/11/14,16.2
2018/11/15,16.23
2018/11/16,17.22
2018/11/19,17.53
2018/11/20,17.53
2018/11/21,17.82
2018/11/22,17.82
2018/11/23,17.23
2018/11/26,17.13
2018/11/27,16.71
2018/11/28,17.5
2018/11/29,17.33
2018/11/30,16.78
2018/12/3,16.73
2018/12/4,17.83
2018/12/5,17.61
2018/12/6,17.46
2018/12/7,17.2
2018/12/10,17.06
2018/12/11,17.46
2018/12/12,17.5
2018/12/13,17.43
2018/12/14,17.43
2018/12/17,17.87
2018/12/18,17.89
2018/12/19,17.94
2018/12/20,17.94
2018/12/21,17.52
2018/12/24,18.04
2018/12/25,18.56
2018/12/26,17.65
2018/12/27,17.66
2018/12/28,18.87
2019/1/2,17.01
2019/1/3,16.52
2019/1/4,14.87
2019/1/7,16.36
2019/1/8,18
2019/1/9,18.84
2019/1/10,18.85
2019/1/11,19.29
2019/1/14,18.97
2019/1/15,18.9
2019/1/16,18.99
2019/1/17,18.96
2019/1/18,19
