交易日期?,收盘价(元)?
2017/1/3,19.44
2017/1/4,19.41
2017/1/5,18.6
2017/1/6,18.91
2017/1/9,18.52
2017/1/10,18.94
2017/1/11,18.79
2017/1/12,18.87
2017/1/13,18.7
2017/1/16,18.5
2017/1/17,18.5
2017/1/18,18.49
2017/1/19,18.29
2017/1/20,18.29
2017/1/23,18.5
2017/1/24,17.63
2017/1/25,18.68
2017/1/26,18.95
2017/2/3,18
2017/2/6,18.33
2017/2/7,18.03
2017/2/8,17.9
2017/2/9,18.15
2017/2/10,17.95
2017/2/13,17.29
2017/2/14,17.44
2017/2/15,17.63
2017/2/16,17.58
2017/2/17,17.52
2017/2/20,17.89
2017/2/21,17.83
2017/2/22,19.97
2017/2/23,17.63
2017/2/24,17.68
2017/2/27,17.65
2017/2/28,17.44
2017/3/1,17.48
2017/3/2,17.48
2017/3/3,17.21
2017/3/6,16.8
2017/3/7,17.72
2017/3/8,17.4
2017/3/9,18
2017/3/10,17.34
2017/3/13,17.26
2017/3/14,17.29
2017/3/15,17.32
2017/3/16,18
2017/3/16,18
2017/3/17,17.3
2017/3/20,17.35
2017/3/21,17.31
2017/3/22,17
2017/3/23,16.86
2017/3/24,16.7
2017/3/27,16.99
2017/3/28,16.93
2017/3/29,16.54
2017/3/30,16.95
2017/3/31,16.6
2017/4/5,16.55
2017/4/6,16.55
2017/4/7,16.03
2017/4/10,16
2017/4/11,15.89
2017/4/12,15.3
2017/4/13,14.81
2017/4/14,14.59
2017/4/17,15.25
2017/4/18,15.34
2017/4/19,15.52
2017/4/20,15.54
2017/4/21,15.9
2017/4/24,16.08
2017/4/25,16.77
2017/4/26,16.96
2017/4/27,16.54
2017/4/28,16.29
2017/5/2,16.12
2017/5/3,15.84
2017/5/4,16.21
2017/5/5,16.2
2017/5/8,16.29
2017/5/9,16.5
2017/5/10,16.48
2017/5/11,16.23
2017/5/12,16.34
2017/5/15,16.33
2017/5/16,16.37
2017/5/17,16.4
2017/5/18,16.48
2017/5/19,16.85
2017/5/22,16.91
2017/5/23,16.91
2017/5/24,16.84
2017/5/25,16.92
2017/5/26,16.7
2017/5/31,16.71
2017/6/1,16.63
2017/6/2,16.28
2017/6/5,16.11
2017/6/6,16.09
2017/6/7,15.78
2017/6/8,15.81
2017/6/9,15.85
2017/6/12,15.94
2017/6/13,15.46
2017/6/14,15.65
2017/6/15,15.64
2017/6/16,15.65
2017/6/19,15.6
2017/6/20,15.4
2017/6/21,15.33
2017/6/22,14.71
2017/6/23,14.36
2017/6/26,13.9
2017/6/27,13.99
2017/6/28,13.68
2017/6/29,13.44
2017/6/30,13.58
2017/7/3,13.67
2017/7/4,14.07
2017/7/5,13.95
2017/7/6,14
2017/7/7,14
2017/7/10,13.92
2017/7/11,14
2017/7/12,13.8
2017/7/13,13.91
2017/7/14,13.9
2017/7/17,13.88
2017/7/18,13.65
2017/7/19,13.19
2017/7/20,12.88
2017/7/21,13.45
2017/7/24,13.48
2017/7/25,13.22
2017/7/26,13.32
2017/7/27,13.31
2017/7/28,13.11
2017/7/31,13.01
2017/8/1,12.28
2017/8/2,11.56
2017/8/3,11.26
2017/8/4,12.23
2017/8/7,12.29
2017/8/8,12.41
2017/8/9,12.43
2017/8/10,12.4
2017/8/11,12.56
2017/8/14,12.83
2017/8/15,12.45
2017/8/16,12.23
2017/8/17,12.3
2017/8/18,12.39
2017/8/21,12.31
2017/8/22,12.51
2017/8/23,12.7
2017/8/24,13.39
2017/8/25,12.71
2017/8/28,12.61
2017/8/29,12.63
2017/8/30,12.74
2017/8/31,12.76
2017/9/1,12.97
2017/9/4,12.76
2017/9/5,12.93
2017/9/6,12.94
2017/9/7,12.87
2017/9/8,12.88
2017/9/11,13.17
2017/9/12,13.01
2017/9/13,13.2
2017/9/14,13.1
2017/9/15,13.08
2017/9/18,13.1
2017/9/19,13.48
2017/9/20,13.01
2017/9/21,13.08
2017/9/22,13.05
2017/9/25,13.3
2017/9/26,13.25
2017/9/27,13.25
2017/9/28,13.5
2017/9/29,13.81
2017/10/9,13.51
2017/10/10,12.18
2017/10/11,13.4
2017/10/12,13.71
2017/10/13,14.61
2017/10/16,13.93
2017/10/17,14.3
2017/10/18,13.94
2017/10/19,14.35
2017/10/20,13.73
2017/10/23,13.69
2017/10/24,13.69
2017/10/25,13.82
2017/10/26,13.62
2017/10/27,13.84
2017/10/30,13.76
2017/10/31,13.96
2017/11/1,14.02
2017/11/2,14.27
2017/11/3,14.25
2017/11/6,14.39
2017/11/7,14.7
2017/11/8,14.72
2017/11/9,15.05
2017/11/10,15.94
2017/11/13,16.19
2017/11/14,16.2
2017/11/15,15.99
2017/11/16,16.01
2017/11/17,16.02
2017/11/20,15.95
2017/11/21,15.7
2017/11/22,15.1
2017/11/23,15.36
2017/11/24,15.27
2017/11/27,14.93
2017/11/28,15.14
2017/11/29,14.98
2017/11/30,14.88
2017/12/1,14.88
2017/12/4,15.33
2017/12/5,15.26
2017/12/6,15.17
2017/12/7,15.19
2017/12/8,15.16
2017/12/11,15.33
2017/12/12,15.49
2017/12/13,15.24
2017/12/14,15.21
2017/12/15,15.19
2017/12/18,15.05
2017/12/19,15.19
2017/12/20,15.32
2017/12/21,15.38
2017/12/22,15.45
2017/12/25,15.6
2017/12/26,15.62
2017/12/27,15.63
2017/12/28,15.52
2017/12/29,15.68
2018/1/2,15.23
2018/1/3,15.29
2018/1/4,15.02
2018/1/5,14.7
2018/1/8,15.01
2018/1/9,15.29
2018/1/10,15.42
2018/1/11,15.3
2018/1/12,15.33
2018/1/15,15.33
2018/1/16,15.34
2018/1/17,14.76
2018/1/18,14.75
2018/1/19,14.95
2018/1/22,15.14
2018/1/23,16.55
2018/1/24,14.99
2018/1/25,14.99
2018/1/26,14.57
2018/1/29,14.93
2018/1/30,15.44
2018/1/31,15.14
2018/2/1,14.85
2018/2/2,14.97
2018/2/5,14.64
2018/2/6,14.9
2018/2/7,14.93
2018/2/8,14.99
2018/2/9,15.02
2018/2/12,14.4
2018/2/13,14.15
2018/2/14,15.29
2018/2/22,16.35
2018/2/23,14.72
2018/2/26,14.3
2018/2/27,14.84
2018/2/28,14.99
2018/3/1,14.07
2018/3/2,14.99
2018/3/5,14.98
2018/3/6,15.09
2018/3/7,14.86
2018/3/8,14.84
2018/3/9,15.46
2018/3/12,14.95
2018/3/13,14.8
2018/3/14,14.98
2018/3/15,14.98
2018/3/16,14.98
2018/3/19,14.86
2018/3/20,14.78
2018/3/21,15.19
2018/3/22,15.51
2018/3/23,14.95
2018/3/26,15.24
2018/3/27,14.94
2018/3/28,15.17
2018/3/29,15.11
2018/3/30,14.89
2018/4/2,15.25
2018/4/3,15.6
2018/4/4,15.6
2018/4/9,15.76
2018/4/10,15.7
2018/4/11,15.07
2018/4/12,15.5
2018/4/13,15.74
2018/4/16,14.72
2018/4/17,15.45
2018/4/18,15.47
2018/4/19,15.99
2018/4/20,15.49
2018/4/23,15.54
2018/4/24,15.58
2018/4/25,15.57
2018/4/26,15.66
2018/4/27,15.53
2018/5/2,16
2018/5/3,15.96
2018/5/4,15.8
2018/5/7,15.65
2018/5/8,15.6
2018/5/9,15.55
2018/5/10,15.58
2018/5/11,15.64
2018/5/14,15.56
2018/5/15,15.56
2018/5/16,15.35
2018/5/17,15.59
2018/5/18,15.47
2018/5/21,15.5
2018/5/22,15.49
2018/5/23,15.55
2018/5/24,16.1
2018/5/25,16.1
2018/5/28,16.82
2018/5/29,16.97
2018/5/30,17.39
2018/5/31,17
2018/6/1,16.75
2018/6/4,16.94
2018/6/5,16.88
2018/6/6,16.57
2018/6/7,16.61
2018/6/8,16.76
2018/6/11,16.57
2018/6/12,16.5
2018/6/13,16.48
2018/6/14,16.5
2018/6/15,16.7
2018/6/19,16.8
2018/6/20,16.7
2018/6/21,16.74
2018/6/22,16.71
2018/6/25,16.8
2018/6/26,16.85
2018/6/27,16.85
2018/6/28,16.85
2018/6/29,17
2018/7/2,17.05
2018/7/3,17.29
2018/7/4,16.83
2018/7/5,17.45
2018/7/6,17.68
2018/7/9,18.15
2018/7/10,18.74
2018/7/11,19.19
2018/7/12,19.24
2018/7/13,20.22
2018/7/16,19.32
2018/7/17,19.32
2018/7/18,20
2018/7/19,20.13
2018/7/20,20.06
2018/7/23,20.46
2018/7/24,20.79
2018/7/25,21.85
2018/7/26,22.93
2018/7/27,23
2018/7/30,24.4
2018/7/31,24.56
2018/8/1,25.38
2018/8/2,25.09
2018/8/3,25.03
