date,dealprice
2017/1/9,17.73
2017/1/16,18.1
2017/1/23,17.89
2017/2/6,16.3
2017/2/13,13.64
2017/2/20,14.91
2017/2/27,14.7
2017/3/6,15.02
2017/3/13,14.84
2017/3/20,15.26
2017/3/27,15.63
2017/4/10,15.35
2017/4/17,15
2017/4/24,14.92
2017/5/8,14.31
2017/5/15,15.47
2017/5/22,17.39
2017/6/5,14.07
2017/6/12,13.5
2017/6/19,12.63
2017/6/26,14.76
2017/7/3,12.99
2017/7/10,12.38
2017/7/17,12.04
2017/7/24,11.06
2017/7/31,11.91
2017/8/7,12.51
2017/8/14,12.22
2017/8/21,12.28
2017/8/28,13.18
2017/9/4,12.7
2017/9/11,13.5
2017/9/18,13.7
2017/9/25,13.92
2017/10/9,13.5
2017/10/16,14
2017/10/23,13.5
2017/10/30,13.33
2017/11/6,13.55
2017/11/13,13.45
2017/11/20,13.5
2017/11/27,13.32
2017/12/4,13.5
2017/12/11,13.35
2017/12/18,13.34
2017/12/25,13.2
2018/1/8,12.93
2018/1/15,13.9
2018/1/22,12.8
2018/1/29,13
2018/2/5,13.67
2018/2/12,12.81
2018/2/26,13
2018/3/5,13.12
2018/3/12,14.41
2018/3/19,13.99
2018/3/26,13.28
2018/4/2,13.2
2018/4/9,14.31
2018/4/16,13.78
2018/4/23,13.7
2018/5/7,14.34
2018/5/14,14.6
2018/5/21,14.93
2018/5/28,15
2018/6/4,15.51
2018/6/11,14.98
2018/6/18,14.88
2018/6/25,14.35
2018/7/2,14.5
2018/7/9,13
2018/7/16,14.93
2018/7/23,13.71
2018/7/30,13.68
2018/8/6,13.39
2018/8/13,14.6
2018/8/20,13.88
2018/8/27,14.74
2018/9/3,12
2018/9/10,14.6
2018/9/17,14.9
2018/10/8,13.96
2018/10/15,15.14
2018/10/22,16.43
2018/10/29,18.09
2018/11/5,17
2018/11/12,16.11
2018/11/19,17.53
2018/11/26,17.13
2018/12/3,16.73
2018/12/10,17.06
2018/12/17,17.87
2018/12/24,18.04
2019/1/7,16.36
2019/1/14,18.97
2019/1/21,19
2019/1/28,18.53
2019/2/11,17.9
2019/2/18,19.43
2019/2/25,20.51
2019/3/4,18.96
2019/3/11,20.11
2019/3/18,21.07
2019/3/25,21.31
2019/4/1,21.74
