date,dealprice,volume,date,dealprice,volume,date,dealprice,volume
2017/1/3,15.27,220923,2017/7/3,12.99,0,2018/10/8,13.96,320
2017/1/4,15.93,9619,2017/7/4,11.88,10052,2018/10/9,15.31,30230
2017/1/5,16.59,7767,2017/7/5,11.11,6454,2018/10/10,9.8,350
2017/1/6,17.08,107452,2017/7/6,12.22,2000,2018/10/11,9.8,7427
2017/1/9,17.73,153490,2017/7/7,12,2580,2018/10/12,10.31,2700
2017/1/10,17.75,203692,2017/7/10,12.38,600,2018/10/15,15.14,300
2017/1/11,18.26,244595,2017/7/11,12.24,4873,2018/10/16,14.51,2387
2017/1/12,17.65,165213,2017/7/12,12.04,1,2018/10/17,15.89,0
2017/1/13,18.29,28732,2017/7/13,11.66,10129,2018/10/18,16.08,207688
2017/1/16,18.1,50688,2017/7/14,11.66,0,2018/10/19,15.25,18896
2017/1/17,16.52,51663,2017/7/17,12.04,1772,2018/10/22,16.43,7678
2017/1/18,18.08,15352,2017/7/18,12.04,0,2018/10/23,16.94,1320
2017/1/19,17.81,112571,2017/7/19,12.59,3440,2018/10/24,17.18,5474
2017/1/20,18.36,13397,2017/7/20,12.13,25088,2018/10/25,17.2,15300
2017/1/23,17.89,67736,2017/7/21,11.08,8460,2018/10/26,18.29,2397
2017/1/24,17.64,11969,2017/7/24,11.06,5200,2018/10/29,18.09,5940
2017/1/25,17.77,5576,2017/7/25,12.1,138094,2018/10/30,17.23,400
2017/1/26,17.77,0,2017/7/26,12.72,10788,2018/10/31,17.16,16432
2017/2/3,18,100,2017/7/27,12.51,1916,2018/11/1,16.7,10158
2017/2/6,16.3,18827,2017/7/28,11.64,21823,2018/11/2,16.99,7843
2017/2/7,15.3,21836,2017/7/31,11.91,6897,2018/11/5,17,4024
2017/2/8,13.83,31934,2017/8/1,12.98,50,2018/11/6,17,11000
2017/2/9,12.87,55905,2017/8/2,12.24,12977,2018/11/7,16.87,17000
2017/2/10,13.34,14565,2017/8/3,11.05,3379,2018/11/8,15.24,32000
2017/2/13,13.64,4509,2017/8/4,12.16,2,2018/11/9,16.76,34124
2017/2/14,14.02,1719,2017/8/7,12.51,1,2018/11/12,16.11,7917
