date,dealprice
2017/1/3,27.21
2017/1/4,31.05
2017/1/5,34.16
2017/1/6,33.86
2017/1/9,32.94
2017/1/10,32.66
2017/1/11,32.91
2017/1/12,33.37
2017/1/13,33.56
2017/1/16,33.78
2017/1/17,34
2017/1/18,34.1
2017/1/19,34.15
2017/1/20,34.58
2017/1/23,35.31
2017/1/24,33.71
2017/1/25,36.8
2017/1/26,36.8
2017/2/3,36.8
2017/2/6,36.8
2017/2/7,37.7
2017/2/8,37.8
2017/2/9,37.8
2017/2/10,35.7
2017/2/13,38.83
2017/2/14,39.5
2017/2/15,39
2017/2/16,38.27
2017/2/17,38.13
2017/2/20,38.83
2017/2/21,38.5
2017/2/22,37.28
2017/2/23,37.44
2017/2/24,37.44
2017/2/27,38
2017/2/28,38.38
2017/3/1,38.35
2017/3/2,38.46
2017/3/3,38.32
2017/3/6,38.87
2017/3/7,38.5
2017/3/8,38.35
2017/3/9,38.06
2017/3/10,38.54
2017/3/13,38.35
2017/3/14,38.65
2017/3/15,38.67
2017/3/16,38.16
2017/3/17,38.44
2017/3/20,38.65
2017/3/21,38.15
2017/3/22,38.35
2017/3/23,37
2017/3/24,38.06
2017/3/27,38.65
2017/3/28,38.63
2017/3/29,38.91
2017/3/30,38.64
2017/3/31,39
2017/4/5,38.7
2017/4/6,39.35
2017/4/7,39.09
2017/4/10,39
2017/4/11,38.56
2017/4/12,38.6
2017/4/13,38.6
2017/4/14,38.52
2017/4/17,38.1
2017/4/18,38.55
2017/4/19,38.85
2017/4/20,38.1
2017/4/21,37.8
2017/4/24,37.7
2017/4/25,37.05
2017/4/26,38.2
2017/4/27,37.9
2017/4/28,37
2017/5/2,36.82
2017/5/3,36.7
2017/5/4,36.7
2017/5/5,36.7
2017/5/8,35.54
2017/5/9,36.63
2017/5/10,36.11
2017/5/11,36.11
2017/5/12,36.1
2017/5/15,35.57
2017/5/16,35.57
2017/5/17,35
2017/5/18,35
2017/5/19,35
2017/5/22,35
2017/5/23,35
2017/5/24,35
2017/5/25,35.4
2017/5/26,35.4
2017/5/31,35.4
2017/6/1,35.4
2017/6/2,35.33
2017/6/5,37.27
2017/6/6,35.91
2017/6/7,35
2017/6/8,33.9
2017/6/9,33.23
2017/6/12,33.11
2017/6/13,35.01
2017/6/14,35.3
2017/6/15,34
2017/6/16,33.17
2017/6/19,34.05
2017/6/20,34.6
