date,dealprice
2017/1/3,35.72
2017/1/4,32.15
2017/1/5,35.37
2017/1/6,31.83
2017/1/9,35.01
2017/1/10,31.51
2017/1/11,34.66
2017/1/12,38.13
2017/1/13,38.13
2017/1/16,37.71
2017/1/17,37.71
2017/1/18,41.47
2017/1/19,41.47
2017/1/20,42
2017/1/23,42
2017/1/24,42
2017/1/25,37.8
2017/1/26,34.02
2017/2/3,37.42
2017/2/6,33.68
2017/2/7,37.05
2017/2/8,37.05
2017/2/9,33.35
2017/2/10,33.35
2017/2/13,33.02
2017/2/14,29.72
2017/2/15,32.69
2017/2/16,35.96
2017/2/17,32.36
2017/2/20,35.6
2017/2/21,35.6
2017/2/22,35.24
2017/2/23,38.76
2017/2/24,35.6
2017/2/27,31.39
2017/2/28,28.25
2017/3/1,31.08
2017/3/2,34.19
2017/3/3,30.77
2017/3/6,27.69
2017/3/7,30.46
2017/3/8,27.41
2017/3/9,30.15
2017/3/10,33.17
2017/3/13,34.82
2017/3/14,26.87
2017/3/15,29.56
2017/3/16,32.52
2017/3/17,29.27
2017/3/20,32.2
2017/3/21,35.42
2017/3/22,31.88
2017/3/23,35.06
2017/3/24,31.55
2017/3/27,28.4
2017/3/28,31.24
2017/3/29,34.36
2017/3/30,33.34
2017/3/31,34.51
2017/4/5,35
2017/4/6,31.5
2017/4/7,31.5
2017/4/10,34.5
2017/4/11,31.05
2017/4/12,27.95
2017/4/13,25.16
2017/4/14,22.64
2017/4/17,24.9
2017/4/18,27.39
2017/4/19,30.13
2017/4/20,33.13
2017/4/21,36.07
2017/4/24,33
2017/4/25,33
2017/4/26,24.83
2017/4/27,32.99
2017/4/28,32.99
2017/5/2,29.69
2017/5/3,31
2017/5/4,34
2017/5/5,34
2017/5/8,32
2017/5/9,28.8
2017/5/10,28.8
2017/5/11,31.68
2017/5/12,34.85
2017/5/15,32
2017/5/16,34
2017/5/17,30.6
2017/5/18,33.6
2017/5/19,33.66
2017/5/22,34
2017/5/23,36
2017/5/24,32.4
2017/5/25,35.6
2017/5/26,36
2017/5/31,32.4
2017/6/1,29.16
2017/6/2,32.07
2017/6/5,32.98
2017/6/6,33.1
2017/6/7,33
2017/6/8,29.7
2017/6/9,26.74
2017/6/12,24.17
2017/6/13,26.47
2017/6/14,24
2017/6/15,24
2017/6/16,22.14
2017/6/19,29.03
2017/6/20,26.13
2017/6/21,28.74
2017/6/22,31.61
2017/6/23,34.77
2017/6/26,35.5
2017/6/27,32.73
2017/6/28,29.46
2017/6/29,32.4
2017/6/30,35.6
2017/7/3,32.04
2017/7/4,28.84
2017/7/5,25.96
2017/7/6,23.36
2017/7/7,25.7
2017/7/10,28.27
2017/7/11,25.44
2017/7/12,27.98
2017/7/13,25.18
2017/7/14,27.7
2017/7/17,30.47
2017/7/18,33.52
2017/7/19,35
2017/7/20,31.5
2017/7/21,35
2017/7/24,31.5
2017/7/25,31.5
2017/7/26,28.35
2017/7/27,28.35
2017/7/28,28.35
2017/7/31,28.35
2017/8/1,28.35
2017/8/2,28.35
2017/8/3,28.35
2017/8/4,28.35
2017/8/7,28.35
2017/8/8,28.35
2017/8/9,28.35
2017/8/10,28.35
2017/8/11,28.35
2017/8/14,22.97
2017/8/15,22.97
2017/8/16,22.97
2017/8/17,22.97
2017/8/18,23
2017/8/21,23
2017/8/22,23
2017/8/23,23
2017/8/24,23
2017/8/25,27.83
2017/8/28,30.61
2017/8/29,30.61
2017/8/30,30.61
2017/8/31,27.55
2017/9/1,30.61
2017/9/4,30.31
2017/9/5,27.28
2017/9/6,24.55
2017/9/7,27.28
2017/9/8,27.28
2017/9/11,23.5
2017/9/12,24.55
2017/9/13,21.15
2017/9/14,21.15
2017/9/15,23.2
2017/9/18,23.35
2017/9/19,25.69
2017/9/20,26.2
2017/9/21,31.01
2017/9/22,27.91
2017/9/25,25.13
2017/9/26,27.32
2017/9/27,23.3
2017/9/28,20.97
2017/9/29,20.9
2017/10/9,22.99
2017/10/10,23.1
2017/10/11,24.03
2017/10/12,23.5
2017/10/13,24.7
2017/10/16,22.23
2017/10/17,24.4
2017/10/18,25
2017/10/19,24.65
2017/10/20,22.19
2017/10/23,24.41
2017/10/24,22.28
2017/10/25,22.28
2017/10/27,20
2017/10/30,22
2017/10/31,24.2
2017/11/1,21.78
2017/11/2,23.9
2017/11/3,22
2017/11/6,23.86
2017/11/7,21.47
2017/11/8,21
2017/11/9,20.36
2017/11/10,20.36
2017/11/13,22.4
2017/11/14,24.64
2017/11/15,26.05
2017/11/16,29.8
2017/11/17,29.64
2017/11/20,28
2017/11/21,30
2017/11/22,32.76
2017/11/23,30
2017/11/24,33
2017/11/27,33
2017/11/28,29.7
2017/11/29,29.7
2017/11/30,28
2017/12/1,28
2017/12/4,28
2017/12/5,22.4
2017/12/6,30.8
2017/12/7,28
2017/12/8,28
2017/12/11,28
2017/12/12,35
2017/12/13,29
2017/12/14,28.99
2017/12/15,28.99
2017/12/18,35
2017/12/19,28.99
2017/12/20,28.99
2017/12/21,27.03
2017/12/22,30
2017/12/25,31.2
2017/12/26,33.68
2017/12/27,27
2017/12/28,29
2017/12/29,29
2018/1/2,27
2018/1/3,27.8
2018/1/4,25.02
2018/1/5,25.02
2018/1/8,27.5
2018/1/9,30
2018/1/10,30
2018/1/11,30
2018/1/12,30
2018/1/15,30
2018/1/17,32
2018/1/18,28.8
2018/1/19,25.92
2018/1/22,23.55
2018/1/23,25.88
2018/1/24,25.88
2018/1/25,23.29
2018/1/26,25.62
2018/1/29,24.9
2018/1/30,25.3
2018/1/31,27.83
2018/2/1,27.83
2018/2/2,30.6
2018/2/5,27.54
2018/2/6,27.54
2018/2/7,30.29
2018/2/8,30.29
2018/2/9,30.29
2018/2/12,30.29
2018/2/13,30.29
2018/2/14,30.29
2018/2/22,30.29
2018/2/23,30.29
2018/2/26,30.29
2018/2/27,33.32
2018/2/28,35
2018/3/1,38.5
2018/3/2,40
2018/3/5,42
2018/3/6,40
2018/3/7,36
2018/3/8,39.6
2018/3/9,39.6
2018/3/12,42
2018/3/13,37.8
2018/3/14,34.02
2018/3/15,37
2018/3/16,37
2018/3/19,33.3
2018/3/20,30
2018/3/21,32.4
2018/3/22,35
2018/3/23,37.3
2018/3/26,37.3
2018/3/27,39.89
2018/3/28,39.89
2018/3/29,40.7
2018/3/30,36.63
2018/4/2,36.63
2018/4/3,36.63
2018/4/4,36.63
2018/4/9,36.63
2018/4/10,36.63
2018/4/11,34.5
2018/4/12,31.05
2018/4/13,34.16
2018/4/16,34.16
2018/4/17,30.74
2018/4/18,27.67
2018/4/19,30.44
2018/4/20,33.48
2018/4/23,30.13
2018/4/24,33.14
2018/4/25,29.83
2018/4/26,26.85
2018/4/27,29.54
2018/5/2,26.59
2018/5/3,29.25
2018/5/4,30
2018/5/7,32
2018/5/8,32
2018/5/9,35.2
2018/5/10,38.72
2018/5/11,38
2018/5/14,38
2018/5/15,34.2
2018/5/16,30.78
2018/5/17,27.7
2018/5/18,30.46
2018/5/21,27.41
2018/5/22,29.04
2018/5/23,33.17
2018/5/24,36
2018/5/25,39.58
2018/5/28,39.58
2018/5/29,39.98
2018/5/30,43.98
2018/5/31,39.58
2018/6/1,43.5
2018/6/4,39.15
2018/6/5,43.07
2018/6/6,43.07
2018/6/7,42
2018/6/8,46.2
2018/6/11,41.58
2018/6/12,41.7
2018/6/13,42.7
2018/6/14,46
2018/6/15,42
2018/6/19,41
2018/6/20,36.9
2018/6/21,40.59
2018/6/22,36.53
2018/6/23,32.88
2018/6/24,29.59
2018/6/25,26.63
2018/6/26,23.97
2018/6/27,26.37
2018/6/28,29.01
2018/6/29,31.91
2018/6/30,28.72
2018/7/2,27.8
2018/7/3,28.2
2018/7/4,25.38
2018/7/5,26
2018/7/6,26
2018/7/9,26
2018/7/10,26
2018/7/11,23.4
2018/7/12,23.4
2018/7/13,25.73
2018/7/16,23.16
2018/7/17,23.16
2018/7/18,25.48
2018/7/19,25.48
2018/7/20,25.48
2018/7/23,25.48
2018/7/24,22.93
2018/7/25,25.22
2018/7/26,25.22
2018/7/27,25.22
2018/7/30,25.22
2018/7/31,25.22
2018/8/1,25.22
2018/8/2,23.16
2018/8/3,23.16
2018/8/6,23.16
2018/8/7,23.16
2018/8/8,23.16
2018/8/9,25.48
2018/8/10,22.93
2018/8/13,25.22
2018/8/14,25.22
2018/8/15,27.74
2018/8/16,30.51
2018/8/17,30.51
2018/8/20,27.46
2018/8/21,30.21
2018/8/22,27.19
2018/8/23,24.47
2018/8/24,26.92
2018/8/27,20.64
2018/8/28,27.73
2018/8/29,30.49
2018/8/30,33.54
2018/8/31,33.54
2018/9/3,33.54
2018/9/4,33.54
2018/9/5,33.54
2018/9/6,30.19
2018/9/7,33.21
2018/9/10,29.89
2018/9/11,32.88
2018/9/12,32.88
2018/9/13,32.88
2018/9/14,29.59
2018/9/17,26.63
2018/9/18,29.18
2018/9/19,29.18
2018/9/20,26.26
2018/9/21,26.26
2018/9/25,23.63
2018/9/26,21.27
2018/9/27,21.27
2018/9/28,19.14
2018/10/8,21.05
2018/10/9,18.95
2018/10/10,17.06
2018/10/11,18.2
2018/10/12,13.82
2018/10/15,15.19
2018/10/16,16.71
2018/10/17,15.04
2018/10/18,15.04
2018/10/19,13.54
2018/10/22,14.89
2018/10/23,16.38
