date,dealprice
2017/1/3,15.27
2017/1/10,17.75
2017/1/17,16.52
2017/1/24,17.64
2017/2/7,15.3
2017/2/14,14.02
2017/2/21,14.86
2017/2/28,14.63
2017/3/7,15.09
2017/3/14,14.83
2017/3/21,15.54
2017/3/28,15.72
2017/4/11,15.12
2017/4/18,15.96
2017/4/25,14.46
2017/5/2,14.77
2017/5/9,14.68
2017/5/16,14.26
2017/5/23,18.9
2017/6/6,13.72
2017/6/13,13.67
2017/6/20,13.09
2017/6/27,14.88
2017/7/4,11.88
2017/7/11,12.24
2017/7/18,12.04
2017/7/25,12.1
2017/8/1,12.98
2017/8/8,11.99
2017/8/15,12.36
2017/8/22,12.5
2017/8/29,13.18
2017/9/5,13
2017/9/12,13.5
2017/9/19,13.7
2017/9/26,13.85
2017/10/10,13.78
2017/10/17,14.92
2017/10/24,14.3
2017/10/31,13.44
2017/11/7,13.55
2017/11/14,14
2017/11/21,13.5
2017/11/28,14.23
2017/12/5,14.2
2017/12/12,14.69
2017/12/19,13.31
2017/12/26,14.17
2018/1/2,12.91
2018/1/9,14
2018/1/16,13.9
2018/1/23,12.8
2018/1/30,12.7
2018/2/6,14.29
2018/2/13,12.81
2018/2/27,12.85
2018/3/6,13.03
2018/3/13,13.11
2018/3/20,13.99
2018/3/27,14.6
2018/4/3,13.53
2018/4/10,13.2
2018/4/17,13.75
2018/4/24,13.66
2018/5/8,14.5
2018/5/15,14.6
2018/5/22,14.97
2018/5/29,15.19
2018/6/5,15.19
2018/6/12,15.13
2018/6/19,14.52
2018/6/26,14.37
2018/7/3,14.12
2018/7/10,12.09
2018/7/17,14.33
2018/7/24,13.2
2018/7/31,13.68
2018/8/7,14.49
2018/8/14,13.88
2018/8/21,13.88
2018/8/28,13.8
2018/9/4,12
2018/9/11,16
2018/9/18,14.07
2018/9/25,14
2018/10/9,15.31
2018/10/16,14.51
2018/10/23,16.94
2018/10/30,17.23
2018/11/6,17
2018/11/13,15.98
2018/11/20,17.53
2018/11/27,16.71
2018/12/4,17.83
2018/12/11,17.46
2018/12/18,17.89
2018/12/25,18.56
2019/1/8,18
2019/1/15,18.9
2019/1/22,18.54
2019/1/29,18.39
2019/2/12,17.9
2019/2/19,19.7
2019/2/26,19.95
2019/3/5,19.11
2019/3/12,21.68
2019/3/19,21.34
2019/3/26,21.36
