变量,指标,系数值,标准误
TanChange,碳效率指数,-0.0039,-0.0046
Coal,煤炭价格                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,    -0.00314***,-0.0003
Eco,埃克天然气价格,  -0.02140*,-0.0118
Gas,天然气价格,-0.0001,-0.0001
ExWeather,极端天气,    0.4510***,-0.156
AQI,空气质量指数,     0.00503***,-0.001
CERChange,国际碳价增长率,0.0066,-0.0318
ExChange,汇率变动率,0.24,-0.179
2.Area,福建,    -26.0400***,-0.527
3.Area,广东,    -38.7000***,-0.258
4.Area,湖北,    -37.4400***,-0.254
5.Area,上海,    -18.4500***,-0.29
6.Area,深圳,    -21.8600***,-0.342
Constant,常数项,     59.1500***,-0.651
"Observations: 2,142",,,
Number of Area: 6,,,
"*** p<0.01, ** p<0.05, * p<0.1",,,
